rootsid,Outflows,Inflows,NetflowRatio,year,Period,name
140,100,222,0.38,1830,1830 - 1839,Oklahoma
141,61,84,0.16,1830,1830 - 1839,Oregon
142,4888,3366,-0.18,1830,1830 - 1839,Pennsylvania
143,18,21,0.08,1830,1830 - 1839,null
144,239,207,-0.07,1830,1830 - 1839,Rhode Island
145,3048,1041,-0.49,1830,1830 - 1839,South Carolina
146,3,6,0.33,1830,1830 - 1839,South Dakota
147,9030,5225,-0.27,1830,1830 - 1839,Tennessee
148,376,1569,0.61,1830,1830 - 1839,Texas
149,0,2,1.0,1830,1830 - 1839,null
150,31,64,0.35,1830,1830 - 1839,Utah
151,1238,788,-0.22,1830,1830 - 1839,Vermont
152,7386,4486,-0.24,1830,1830 - 1839,Virginia
153,84,95,0.06,1830,1830 - 1839,Washington
154,2817,2966,0.03,1830,1830 - 1839,West Virginia
155,175,653,0.58,1830,1830 - 1839,Wisconsin
156,3,8,0.45,1830,1830 - 1839,Wyoming
157,5,6,0.09,1830,1830 - 1839,Carolina
158,0,4,1.0,1830,1830 - 1839,Dakota
101,4987,4081,-0.1,1840,1840 - 1849,Alabama
102,43,63,0.19,1840,1840 - 1849,null
104,18,15,-0.09,1840,1840 - 1849,Arizona
105,1701,3802,0.38,1840,1840 - 1849,Arkansas
106,109,374,0.55,1840,1840 - 1849,California
107,80,84,0.02,1840,1840 - 1849,Colorado
109,623,555,-0.06,1840,1840 - 1849,Connecticut
110,303,282,-0.04,1840,1840 - 1849,Delaware
111,104,112,0.04,1840,1840 - 1849,District of Columbia
112,374,780,0.35,1840,1840 - 1849,Florida
113,3994,2990,-0.14,1840,1840 - 1849,Georgia
115,4,4,0.0,1840,1840 - 1849,null
116,22,33,0.2,1840,1840 - 1849,Idaho
117,6099,9103,0.2,1840,1840 - 1849,Illinois
118,6451,7083,0.05,1840,1840 - 1849,Indiana
119,2100,6387,0.51,1840,1840 - 1849,Iowa
120,163,234,0.18,1840,1840 - 1849,Kansas
121,5016,3825,-0.13,1840,1840 - 1849,Kentucky
122,702,1310,0.3,1840,1840 - 1849,Louisiana
123,539,509,-0.03,1840,1840 - 1849,Maine
124,718,558,-0.13,1840,1840 - 1849,Maryland
125,1191,1236,0.02,1840,1840 - 1849,Massachusetts
126,984,2712,0.47,1840,1840 - 1849,Michigan
127,67,174,0.44,1840,1840 - 1849,Minnesota
128,2568,3931,0.21,1840,1840 - 1849,Mississippi
129,4184,7888,0.31,1840,1840 - 1849,Missouri
130,71,71,0.0,1840,1840 - 1849,Montana
131,304,347,0.07,1840,1840 - 1849,Nebraska
132,9,10,0.05,1840,1840 - 1849,Nevada
133,534,477,-0.06,1840,1840 - 1849,New Hampshire
134,710,603,-0.08,1840,1840 - 1849,New Jersey
135,26,67,0.44,1840,1840 - 1849,New Mexico
136,5815,3392,-0.26,1840,1840 - 1849,New York
137,3215,1494,-0.37,1840,1840 - 1849,North Carolina
138,7,30,0.62,1840,1840 - 1849,North Dakota
139,9581,5987,-0.23,1840,1840 - 1849,Ohio
140,108,249,0.39,1840,1840 - 1849,Oklahoma
141,120,691,0.7,1840,1840 - 1849,Oregon
142,4390,3005,-0.19,1840,1840 - 1849,Pennsylvania
143,3,10,0.54,1840,1840 - 1849,null
144,262,243,-0.04,1840,1840 - 1849,Rhode Island
145,2039,832,-0.42,1840,1840 - 1849,South Carolina
146,8,7,-0.07,1840,1840 - 1849,South Dakota
147,7813,3998,-0.32,1840,1840 - 1849,Tennessee
148,745,3927,0.68,1840,1840 - 1849,Texas
149,0,1,1.0,1840,1840 - 1849,null
150,84,1048,0.85,1840,1840 - 1849,Utah
151,890,681,-0.13,1840,1840 - 1849,Vermont
152,6221,4772,-0.13,1840,1840 - 1849,Virginia
153,112,147,0.14,1840,1840 - 1849,Washington
154,3297,3581,0.04,1840,1840 - 1849,West Virginia
155,614,3256,0.68,1840,1840 - 1849,Wisconsin
156,37,57,0.21,1840,1840 - 1849,Wyoming
157,6,3,-0.33,1840,1840 - 1849,Carolina
158,4,15,0.58,1840,1840 - 1849,Dakota
101,4130,3347,-0.1,1850,1850 - 1859,Alabama
102,68,85,0.11,1850,1850 - 1859,null
104,26,52,0.33,1850,1850 - 1859,Arizona
105,2382,5082,0.36,1850,1850 - 1859,Arkansas
106,531,1965,0.57,1850,1850 - 1859,California
107,100,160,0.23,1850,1850 - 1859,Colorado
109,677,496,-0.15,1850,1850 - 1859,Connecticut
110,284,273,-0.02,1850,1850 - 1859,Delaware
111,116,136,0.08,1850,1850 - 1859,District of Columbia
112,466,825,0.28,1850,1850 - 1859,Florida
113,4274,2217,-0.32,1850,1850 - 1859,Georgia
115,6,8,0.14,1850,1850 - 1859,null
116,58,90,0.22,1850,1850 - 1859,Idaho
117,7303,10764,0.19,1850,1850 - 1859,Illinois
118,8149,6641,-0.1,1850,1850 - 1859,Indiana
119,4795,10821,0.39,1850,1850 - 1859,Iowa
120,469,2109,0.64,1850,1850 - 1859,Kansas
121,5090,3508,-0.18,1850,1850 - 1859,Kentucky
122,1051,1460,0.16,1850,1850 - 1859,Louisiana
123,646,468,-0.16,1850,1850 - 1859,Maine
124,732,508,-0.18,1850,1850 - 1859,Maryland
125,1430,1064,-0.15,1850,1850 - 1859,Massachusetts
126,1392,3606,0.44,1850,1850 - 1859,Michigan
127,344,2335,0.74,1850,1850 - 1859,Minnesota
128,2872,2277,-0.12,1850,1850 - 1859,Mississippi
129,5536,9334,0.26,1850,1850 - 1859,Missouri
130,70,107,0.21,1850,1850 - 1859,Montana
131,299,701,0.4,1850,1850 - 1859,Nebraska
132,75,84,0.06,1850,1850 - 1859,Nevada
133,533,447,-0.09,1850,1850 - 1859,New Hampshire
134,780,665,-0.08,1850,1850 - 1859,New Jersey
135,49,61,0.11,1850,1850 - 1859,New Mexico
136,5952,3100,-0.32,1850,1850 - 1859,New York
137,2434,1291,-0.31,1850,1850 - 1859,North Carolina
138,15,37,0.42,1850,1850 - 1859,North Dakota
139,11518,5288,-0.37,1850,1850 - 1859,Ohio
140,159,268,0.26,1850,1850 - 1859,Oklahoma
141,301,1157,0.59,1850,1850 - 1859,Oregon
142,4963,2765,-0.28,1850,1850 - 1859,Pennsylvania
143,12,12,0.0,1850,1850 - 1859,null
144,247,236,-0.02,1850,1850 - 1859,Rhode Island
145,1496,623,-0.41,1850,1850 - 1859,South Carolina
146,18,36,0.33,1850,1850 - 1859,South Dakota
147,7395,3229,-0.39,1850,1850 - 1859,Tennessee
148,1511,6562,0.63,1850,1850 - 1859,Texas
149,0,1,1.0,1850,1850 - 1859,null
150,488,2569,0.68,1850,1850 - 1859,Utah
151,891,625,-0.18,1850,1850 - 1859,Vermont
152,6486,4470,-0.18,1850,1850 - 1859,Virginia
153,146,310,0.36,1850,1850 - 1859,Washington
154,3580,4321,0.09,1850,1850 - 1859,West Virginia
155,1885,4827,0.44,1850,1850 - 1859,Wisconsin
156,103,104,0.0,1850,1850 - 1859,Wyoming
157,7,11,0.22,1850,1850 - 1859,Carolina
158,17,34,0.33,1850,1850 - 1859,Dakota
101,2209,3910,0.28,1820,1820 - 1829,Alabama
102,11,16,0.19,1820,1820 - 1829,
104,6,7,0.08,1820,1820 - 1829,Arizona
105,362,740,0.34,1820,1820 - 1829,Arkansas
106,49,88,0.28,1820,1820 - 1829,California
107,36,43,0.09,1820,1820 - 1829,Colorado
109,855,595,-0.18,1820,1820 - 1829,Connecticut
110,193,198,0.01,1820,1820 - 1829,Delaware
111,62,50,-0.11,1820,1820 - 1829,District of Columbia
112,132,308,0.4,1820,1820 - 1829,Florida
113,2319,2739,0.08,1820,1820 - 1829,Georgia
115,1,0,-1.0,1820,1820 - 1829,null
116,5,9,0.29,1820,1820 - 1829,Idaho
117,1328,3868,0.49,1820,1820 - 1829,Illinois
118,2745,6843,0.43,1820,1820 - 1829,Indiana
119,246,333,0.15,1820,1820 - 1829,Iowa
120,47,55,0.08,1820,1820 - 1829,Kansas
121,6719,4048,-0.25,1820,1820 - 1829,Kentucky
122,358,386,0.04,1820,1820 - 1829,Louisiana
123,297,434,0.19,1820,1820 - 1829,Maine
124,716,462,-0.22,1820,1820 - 1829,Maryland
125,1107,837,-0.14,1820,1820 - 1829,Massachusetts
126,251,682,0.46,1820,1820 - 1829,Michigan
127,33,35,0.03,1820,1820 - 1829,Minnesota
128,742,1103,0.2,1820,1820 - 1829,Mississippi
129,1280,2620,0.34,1820,1820 - 1829,Missouri
130,50,53,0.03,1820,1820 - 1829,Montana
131,18,28,0.22,1820,1820 - 1829,Nebraska
132,1,1,0.0,1820,1820 - 1829,Nevada
133,551,443,-0.11,1820,1820 - 1829,New Hampshire
134,676,459,-0.19,1820,1820 - 1829,New Jersey
135,15,50,0.54,1820,1820 - 1829,New Mexico
136,2970,3370,0.06,1820,1820 - 1829,New York
137,4941,2249,-0.37,1820,1820 - 1829,North Carolina
138,7,17,0.42,1820,1820 - 1829,North Dakota
139,4721,6563,0.16,1820,1820 - 1829,Ohio
140,72,95,0.14,1820,1820 - 1829,Oklahoma
141,57,58,0.01,1820,1820 - 1829,Oregon
142,3580,2646,-0.15,1820,1820 - 1829,Pennsylvania
143,19,30,0.22,1820,1820 - 1829,null
144,271,191,-0.17,1820,1820 - 1829,Rhode Island
145,3313,1340,-0.42,1820,1820 - 1829,South Carolina
146,1,0,-1.0,1820,1820 - 1829,South Dakota
147,5696,5715,0.0,1820,1820 - 1829,Tennessee
148,204,433,0.36,1820,1820 - 1829,Texas
149,3,3,0.0,1820,1820 - 1829,null
150,16,15,-0.03,1820,1820 - 1829,Utah
151,1088,799,-0.15,1820,1820 - 1829,Vermont
152,6433,4186,-0.21,1820,1820 - 1829,Virginia
153,70,74,0.03,1820,1820 - 1829,Washington
154,2363,2385,0.0,1820,1820 - 1829,West Virginia
155,73,145,0.33,1820,1820 - 1829,Wisconsin
156,2,1,-0.33,1820,1820 - 1829,Wyoming
157,7,5,-0.17,1820,1820 - 1829,Carolina
158,1,1,0.0,1820,1820 - 1829,Dakota
101,30,31,0.02,1950,1950 - 1959,Alabama
102,6,13,0.37,1950,1950 - 1959,null
103,1,0,-1.0,1950,1950 - 1959,null
104,37,51,0.16,1950,1950 - 1959,Arizona
105,28,20,-0.17,1950,1950 - 1959,Arkansas
106,141,217,0.21,1950,1950 - 1959,California
107,34,38,0.06,1950,1950 - 1959,Colorado
109,13,12,-0.04,1950,1950 - 1959,Connecticut
110,9,15,0.25,1950,1950 - 1959,Delaware
111,21,17,-0.11,1950,1950 - 1959,District of Columbia
112,26,54,0.35,1950,1950 - 1959,Florida
113,31,34,0.05,1950,1950 - 1959,Georgia
114,0,2,1.0,1950,1950 - 1959,null
115,3,7,0.4,1950,1950 - 1959,null
116,35,35,0.0,1950,1950 - 1959,Idaho
117,46,70,0.21,1950,1950 - 1959,Illinois
118,46,52,0.06,1950,1950 - 1959,Indiana
119,50,35,-0.18,1950,1950 - 1959,Iowa
120,58,61,0.03,1950,1950 - 1959,Kansas
121,57,41,-0.16,1950,1950 - 1959,Kentucky
122,23,24,0.02,1950,1950 - 1959,Louisiana
123,5,14,0.47,1950,1950 - 1959,Maine
124,22,22,0.0,1950,1950 - 1959,Maryland
125,20,18,-0.05,1950,1950 - 1959,Massachusetts
126,41,52,0.12,1950,1950 - 1959,Michigan
127,27,26,-0.02,1950,1950 - 1959,Minnesota
128,27,16,-0.26,1950,1950 - 1959,Mississippi
129,46,48,0.02,1950,1950 - 1959,Missouri
130,16,21,0.14,1950,1950 - 1959,Montana
131,22,26,0.08,1950,1950 - 1959,Nebraska
132,12,5,-0.41,1950,1950 - 1959,Nevada
133,5,11,0.38,1950,1950 - 1959,New Hampshire
134,11,22,0.33,1950,1950 - 1959,New Jersey
135,32,37,0.07,1950,1950 - 1959,New Mexico
136,35,26,-0.15,1950,1950 - 1959,New York
137,26,29,0.05,1950,1950 - 1959,North Carolina
138,9,13,0.18,1950,1950 - 1959,North Dakota
139,66,79,0.09,1950,1950 - 1959,Ohio
140,62,34,-0.29,1950,1950 - 1959,Oklahoma
141,40,38,-0.03,1950,1950 - 1959,Oregon
142,44,34,-0.13,1950,1950 - 1959,Pennsylvania
143,2,4,0.33,1950,1950 - 1959,null
144,4,5,0.11,1950,1950 - 1959,Rhode Island
145,19,12,-0.23,1950,1950 - 1959,South Carolina
146,23,11,-0.35,1950,1950 - 1959,South Dakota
147,48,29,-0.25,1950,1950 - 1959,Tennessee
148,110,109,0.0,1950,1950 - 1959,Texas
150,71,71,0.0,1950,1950 - 1959,Utah
151,5,5,0.0,1950,1950 - 1959,Vermont
152,46,38,-0.1,1950,1950 - 1959,Virginia
153,47,52,0.05,1950,1950 - 1959,Washington
154,35,17,-0.35,1950,1950 - 1959,West Virginia
155,20,13,-0.21,1950,1950 - 1959,Wisconsin
156,22,20,-0.05,1950,1950 - 1959,Wyoming
157,0,1,1.0,1950,1950 - 1959,Carolina
158,2,0,-1.0,1950,1950 - 1959,Dakota
101,855,687,-0.11,1920,1920 - 1929,Alabama
102,35,31,-0.06,1920,1920 - 1929,null
103,1,0,-1.0,1920,1920 - 1929,null
104,514,566,0.05,1920,1920 - 1929,Arizona
105,1842,1241,-0.19,1920,1920 - 1929,Arkansas
106,997,3131,0.52,1920,1920 - 1929,California
107,1176,1172,0.0,1920,1920 - 1929,Colorado
109,169,174,0.01,1920,1920 - 1929,Connecticut
110,97,97,0.0,1920,1920 - 1929,Delaware
111,175,150,-0.08,1920,1920 - 1929,District of Columbia
112,465,929,0.33,1920,1920 - 1929,Florida
113,883,560,-0.22,1920,1920 - 1929,Georgia
114,1,1,0.0,1920,1920 - 1929,null
115,18,36,0.33,1920,1920 - 1929,null
116,1225,1017,-0.09,1920,1920 - 1929,Idaho
117,1499,1749,0.08,1920,1920 - 1929,Illinois
118,1239,1411,0.06,1920,1920 - 1929,Indiana
119,1400,1162,-0.09,1920,1920 - 1929,Iowa
120,1827,1733,-0.03,1920,1920 - 1929,Kansas
121,1614,1123,-0.18,1920,1920 - 1929,Kentucky
122,535,482,-0.05,1920,1920 - 1929,Louisiana
123,138,191,0.16,1920,1920 - 1929,Maine
124,310,372,0.09,1920,1920 - 1929,Maryland
125,355,439,0.11,1920,1920 - 1929,Massachusetts
126,822,1364,0.25,1920,1920 - 1929,Michigan
127,840,842,0.0,1920,1920 - 1929,Minnesota
128,471,407,-0.07,1920,1920 - 1929,Mississippi
129,2223,1800,-0.11,1920,1920 - 1929,Missouri
130,583,488,-0.09,1920,1920 - 1929,Montana
131,1001,797,-0.11,1920,1920 - 1929,Nebraska
132,158,178,0.06,1920,1920 - 1929,Nevada
133,131,125,-0.02,1920,1920 - 1929,New Hampshire
134,227,368,0.24,1920,1920 - 1929,New Jersey
135,550,548,0.0,1920,1920 - 1929,New Mexico
136,638,805,0.12,1920,1920 - 1929,New York
137,754,777,0.02,1920,1920 - 1929,North Carolina
138,597,377,-0.23,1920,1920 - 1929,North Dakota
139,1456,2013,0.16,1920,1920 - 1929,Ohio
140,3165,2860,-0.05,1920,1920 - 1929,Oklahoma
141,668,954,0.18,1920,1920 - 1929,Oregon
142,991,867,-0.07,1920,1920 - 1929,Pennsylvania
143,1,7,0.75,1920,1920 - 1929,null
144,60,73,0.1,1920,1920 - 1929,Rhode Island
145,391,323,-0.1,1920,1920 - 1929,South Carolina
146,634,492,-0.13,1920,1920 - 1929,South Dakota
147,1146,975,-0.08,1920,1920 - 1929,Tennessee
148,2054,2573,0.11,1920,1920 - 1929,Texas
149,1,0,-1.0,1920,1920 - 1929,null
150,1000,946,-0.03,1920,1920 - 1929,Utah
151,120,130,0.04,1920,1920 - 1929,Vermont
152,890,728,-0.1,1920,1920 - 1929,Virginia
153,699,1077,0.21,1920,1920 - 1929,Washington
154,976,873,-0.06,1920,1920 - 1929,West Virginia
155,616,658,0.03,1920,1920 - 1929,Wisconsin
156,483,458,-0.03,1920,1920 - 1929,Wyoming
158,42,28,-0.2,1920,1920 - 1929,Dakota
101,2133,1372,-0.22,1890,1890 - 1899,Alabama
102,115,98,-0.08,1890,1890 - 1899,
103,0,1,1.0,1890,1890 - 1899,null
104,365,555,0.21,1890,1890 - 1899,Arizona
105,3718,2876,-0.13,1890,1890 - 1899,Arkansas
106,832,1591,0.31,1890,1890 - 1899,California
107,1159,1545,0.14,1890,1890 - 1899,Colorado
108,1,1,0.0,1890,1890 - 1899,null
109,255,324,0.12,1890,1890 - 1899,Connecticut
110,173,210,0.1,1890,1890 - 1899,Delaware
111,152,157,0.02,1890,1890 - 1899,District of Columbia
112,347,461,0.14,1890,1890 - 1899,Florida
113,1444,953,-0.2,1890,1890 - 1899,Georgia
115,13,25,0.32,1890,1890 - 1899,null
116,1014,2035,0.33,1890,1890 - 1899,Idaho
117,3805,3548,-0.03,1890,1890 - 1899,Illinois
118,2543,2494,-0.01,1890,1890 - 1899,Indiana
119,3856,3422,-0.06,1890,1890 - 1899,Iowa
120,5941,3956,-0.2,1890,1890 - 1899,Kansas
121,2170,1606,-0.15,1890,1890 - 1899,Kentucky
122,607,734,0.09,1890,1890 - 1899,Louisiana
123,294,374,0.12,1890,1890 - 1899,Maine
124,417,444,0.03,1890,1890 - 1899,Maryland
125,646,1093,0.26,1890,1890 - 1899,Massachusetts
126,1237,1662,0.15,1890,1890 - 1899,Michigan
127,1423,1768,0.11,1890,1890 - 1899,Minnesota
128,1191,726,-0.24,1890,1890 - 1899,Mississippi
129,5898,5111,-0.07,1890,1890 - 1899,Missouri
130,405,684,0.26,1890,1890 - 1899,Montana
131,3464,2474,-0.17,1890,1890 - 1899,Nebraska
132,133,187,0.17,1890,1890 - 1899,Nevada
133,202,298,0.19,1890,1890 - 1899,New Hampshire
134,391,599,0.21,1890,1890 - 1899,New Jersey
135,355,444,0.11,1890,1890 - 1899,New Mexico
136,1313,1650,0.11,1890,1890 - 1899,New York
137,1128,835,-0.15,1890,1890 - 1899,North Carolina
138,498,1115,0.38,1890,1890 - 1899,North Dakota
139,2504,2449,-0.01,1890,1890 - 1899,Ohio
140,2573,8815,0.55,1890,1890 - 1899,Oklahoma
141,900,1401,0.22,1890,1890 - 1899,Oregon
142,1786,1682,-0.03,1890,1890 - 1899,Pennsylvania
143,5,7,0.17,1890,1890 - 1899,null
144,139,241,0.27,1890,1890 - 1899,Rhode Island
145,505,467,-0.04,1890,1890 - 1899,South Carolina
146,1312,1228,-0.03,1890,1890 - 1899,South Dakota
147,2476,1712,-0.18,1890,1890 - 1899,Tennessee
148,4463,6206,0.16,1890,1890 - 1899,Texas
149,1,2,0.33,1890,1890 - 1899,null
150,1840,1487,-0.11,1890,1890 - 1899,Utah
151,263,289,0.05,1890,1890 - 1899,Vermont
152,1369,1226,-0.06,1890,1890 - 1899,Virginia
153,1027,1682,0.24,1890,1890 - 1899,Washington
154,1296,1399,0.04,1890,1890 - 1899,West Virginia
155,1261,1420,0.06,1890,1890 - 1899,Wisconsin
156,424,627,0.19,1890,1890 - 1899,Wyoming
157,2,1,-0.33,1890,1890 - 1899,Carolina
158,183,115,-0.23,1890,1890 - 1899,Dakota
101,1657,1234,-0.15,1900,1900 - 1909,Alabama
102,94,106,0.06,1900,1900 - 1909,null
104,397,521,0.14,1900,1900 - 1909,Arizona
105,3435,2652,-0.13,1900,1900 - 1909,Arkansas
106,893,2540,0.48,1900,1900 - 1909,California
107,1313,2033,0.22,1900,1900 - 1909,Colorado
109,210,300,0.18,1900,1900 - 1909,Connecticut
110,174,136,-0.12,1900,1900 - 1909,Delaware
111,154,166,0.04,1900,1900 - 1909,District of Columbia
112,356,630,0.28,1900,1900 - 1909,Florida
113,1257,975,-0.13,1900,1900 - 1909,Georgia
114,2,1,-0.33,1900,1900 - 1909,null
115,11,9,-0.1,1900,1900 - 1909,null
116,1182,2559,0.37,1900,1900 - 1909,Idaho
117,3857,2841,-0.15,1900,1900 - 1909,Illinois
118,2804,2108,-0.14,1900,1900 - 1909,Indiana
119,4240,2459,-0.27,1900,1900 - 1909,Iowa
120,4071,3838,-0.03,1900,1900 - 1909,Kansas
121,2555,1445,-0.28,1900,1900 - 1909,Kentucky
122,735,825,0.06,1900,1900 - 1909,Louisiana
123,241,315,0.13,1900,1900 - 1909,Maine
124,420,474,0.06,1900,1900 - 1909,Maryland
125,626,832,0.14,1900,1900 - 1909,Massachusetts
126,1386,1753,0.12,1900,1900 - 1909,Michigan
127,1732,1675,-0.02,1900,1900 - 1909,Minnesota
128,861,743,-0.07,1900,1900 - 1909,Mississippi
129,5794,3811,-0.21,1900,1900 - 1909,Missouri
130,476,951,0.33,1900,1900 - 1909,Montana
131,2288,2041,-0.06,1900,1900 - 1909,Nebraska
132,177,238,0.15,1900,1900 - 1909,Nevada
133,232,279,0.09,1900,1900 - 1909,New Hampshire
134,361,591,0.24,1900,1900 - 1909,New Jersey
135,495,1192,0.41,1900,1900 - 1909,New Mexico
136,1156,1372,0.09,1900,1900 - 1909,New York
137,1115,837,-0.14,1900,1900 - 1909,North Carolina
138,794,1709,0.37,1900,1900 - 1909,North Dakota
139,2534,2462,-0.01,1900,1900 - 1909,Ohio
140,4836,10268,0.36,1900,1900 - 1909,Oklahoma
141,889,1677,0.31,1900,1900 - 1909,Oregon
142,1857,1562,-0.09,1900,1900 - 1909,Pennsylvania
143,6,6,0.0,1900,1900 - 1909,null
144,130,204,0.22,1900,1900 - 1909,Rhode Island
